,축제명,축제주요내용
20,Thebrilliantcountdown2016(영동대로카운트다운),[]
21,서울코믹월드,"['10', '10일', '일', '서울', '서초', '서초구', '구', '양재', '양재동', '동', '센터', '저', '166', '166회', '회', '코믹', '코믹월드', '월드', '코', '코스프레', '스프', '레', '참가자', '포즈', '2019.11', '뉴스', '뉴스1', '1', '머', '너', '즈', '워', '뉴욕', '콘', '전시', '현장', '스포츠', '김', '기자', '모바일', '게임', '기업', '컴', '컴투스', '투스', '대표', '송병준', '글로벌', '아레나', '챔피언십', '브랜드', '가치', '이', '이투데이', '투데이', '애', '만화', '사랑', '축제', '양재', '콘테스트', '만화노래자랑', '노래', '자랑', '동아리', '전시교류전', '교류', '전', '등', '볼거리', '멀티', '멀티플랫폼', '플랫폼', '카카오', '카카오게임즈', '각자', '남궁', '훈', '조', '계', '계현', '현', '20', '20일', '토', '과', '21', '21일', '일', '양일간', '학', '학여울역', '여울', '역', '텍', '164', '164회', '회', '인기', '애니메이션', '프린세스', '넥트']"
22,독도둘레길체험여의도걷기대회,"['실', '실기', '기', '대회', '거리', '거리극', '극', '선녀', '나무꾼', '공연', '승마', '체험', '물고기', '잡기', '깡통', '열차', '운행', '가족', '단위', '관광객', '예정', '추석', '추석맞이', '맞이', '경북', '특별', '프로그램', '가위', '스페셜', '보문', '보문호반', '호반', '달빛', '걷기', '10', '10월', '월', '광장', '독', '둘레', '둘레길', '길', '여의도', '걷기대회', '오', '오전', '전', '11', '11시', '시', '오후', '2', '2시', '3', '3시', '칙령', '기념사업', '국민', '국민연합', '연합', '포럼', '살리기', '살리기운동본부', '운동', '본부', '탑', '탑골공원', '골', '공원', '덕수궁', '내', '광화문', '광화문광장', '저', '115', '115주년', '주년', '날', '기념식', '1', '1시', '4', '4시', '시', '물빛', '물빛무대', '무대', '1회', '회', '성황리', '개최', '이', '이번', '번', '의', '중함', '마련', '5.4', '동도', '2.8', '서', '2.6', '천', '세', '세명고', '명고', '동아리', '활동', '통해', '지킴', '로', '지난해', '서울', '충북', '제천', '명', '명고등학교', '고등', '학교', '사랑', '사랑부ㆍ역사', '부', 'ㆍ', '역사', '캠핑', '캠핑부', '학생', '참여', '기념', '기념촬영', '촬영', '대전', '중도', '중도일보', '일보', '의용', '의용수비대기념사업회', '수비대', '사업회', '회장', '이병', '국회의원', '오', '25', '25일', '일', '오전', '들판', '일원', '이날', '행사', '가상', '수', '상', '코스', '선착장', '시작']"
23,한글문화장터,"['여', '여주시', '주시', '관계자', '토요', '장터', '활성화', '지역', '지역상권', '상권', '하나', '한글', '시장', '문화', '수', '노력', '여주의', '주의', '대표', '대표시장', '각종', '홍보', '콘', '츠', '개발', '지속적', '추진', '나라', '입찰', '공고', '조달청', '물품', '물품구입', '구입', '소액', '소액수의', '수의', '견적', '견적제출', '제출', '안내', '안내공고', '파크', '파크골프장', '골프장', '조성', '조성공사', '공사', '관급', '입찰명', '명', '신규', '신규경기', '경기', '창조', '창조허브', '허브', '공간', '공간조성', '리모델링', '통신', '계약', '계약방법', '방법', '소', '액', '견적입찰', '2', '2인', '인', '이상', '기자단', '운영', '등', '시장자생력', '자생력', '강화', '차원', '야시장', '지역커뮤니티', '커뮤니티', '지원', '상인', '상인동아리', '동아리', '한', '러', '청소년', '교류', '버스', '버스킹', '킹', '거리', '거리뮤지컬', '뮤지컬', '다양', '이벤트', '대회', '재', '그림', '그리기', '공연', '3', '3종', '종', '학생', '가을', '음악제', '배', '배꼬미', '꼬미', '취타', '취타대', '대', '세종', '이', '이도의', '도의', '꿈', '시연', '예림', '예림회', '회', '차회', '날', '퀴즈', '시', '4', '4종', '사군자', '작품', '어린이', '서예', '영', '근대', '근대역사', '역사', '익산', '솜', '을', '등록', '4일', '일', '송기', '송기주', '주', '벌', '벌식', '식', '타자기', '세로', '세로모아쓰기', '모아', '쓰기', '방식', '특징', '현재', '발견']"
24,대한민국커피축제,"['강릉', '커피', '커피축제', '축제', '횡', '횡성한우', '성한', '우', '2', '3', '3위', '위', '뒤', '연구소', '연구소측', '측', '9', '9월28일', '월', '28', '일', '10', '10월29일', '29', '이', '11', '11월', '대한', '대한민국', '민국', '도시', '브랜드', '브랜드평판', '평판', '빅', '빅데이터', '데이터', '분석', '분석결과', '결과', '수원', '수원시', '시', '7', '7위', '차지', '서울', '부산', '세종', '처음', '공장', '위험', '부담', '조금', '생산', '때', '판매', '반응', '최', '최진성', '진성', '이번', '잼', '2019', '2019년', '년', '관광', '관광기념품', '기념품', '공모전', '문화', '문화체육관광부', '체육', '부', '장관', '장관상인', '상인', '은상', '아세', '아세안', '안', '의', '관심', '다양', '이', '행사', '성행', '1', '청계', '청계광장', '광장', '인도네시아', '대표', '대표작가', '작가', '체험', '체험부스', '부스', '사람', '대기', '대기번호', '번호', '인근', '음식', '음식업소', '업소', '숍', '예약', '29일', '오후', '2시', '시', '국화', '개장식', '최초', '건립', '한국', '한국트로트가요센터', '트로트', '가요', '센터', '개관식']"
25,정동야행,"['정', '교수', '정동', '정동야행', '야행', '등', '2016', '2016년', '년', '시작', '문화재', '활용', '야간', '프로그램', '축제', '진주', '남강', '남강유', '유', '등축제', '소개', '앞', '기조', '기조발표', '발표', '다이', '중국', '중국관광연구원장', '관광', '연구원장', '야간경제', '경제', '동화', '동화약품', '약품', '10', '10월', '월', '25', '25일', '일', '26', '26일', '양일간', '서울', '중구', '일대', '2019', '참여', '이번', '시간', '시간여행', '여행', '을', '주제', '정동의', '동의', '근대', '역사', '문화', '조명', '서울특별', '서울특별시', '특별시', '시', '오후', '정동일대', '성황리', '개막', '은', '0', '1897', '테마', '개화기', '재']"
26,정동문화축제,"['17', '17일', '일', '서울', '중구', '정동', '길', '시민', '경향', '경향신문', '신문', '주최', '저', '21', '21회', '회', '문화', '문화축제', '축제', '진행', '공연', '관람', '19', '19일', '이번', '각종', '사진전', '노', '노천카페', '천', '카페', '한국', '근', '근현대사', '현대사', '산실', '다양', '행사', '수', '정동문화축제', '서울시', '등', '후원', '올해', '회', '보', '보담', '담', '을', '개최', '10.17', '덕수궁', '돌담', '돌담길', '경향신문사', '신문사', '전역', '콘서트', '아트', '아트마켓', '마켓', '앞', '일대', '기업', '학교', '주민', '시사', '시사만화', '만화', '전시', '캐리', '처', '주기', 'ㆍ', 'ㆍ풍납토성', '풍', '납', '토성', '선사', '역사', '체험', '거리', '가을', '10', '10월', '월', '곳곳', '이색', '볼거리']"
27,북팔코믹스페스티벌:할로북코페,[]
28,경북착한사과페스티벌,"['5', '5일', '일', '서울', '서울광장', '광장', '2019', '경북', '사과', '페스티벌', '의', '조형물', '앞', '시민', '기념', '촬영', '이날', '7', '7일', '반값', '할인', '판매', '시식회', '등', '마련', '지역', '전국', '도가', '을', '개최', '올해', '14', '14회', '회', '이번', '행사', '3', '공연', '문화', '문화행사', '행운', '로또', '경', '경북도', '북도', '우수성', '홍보', '수입산', '과일', '소비', '감소', '촉진', '13', '13일', '2018', '개막식', '15', '15일', '홍보행사', '대한', '대한민국', '민국', '경북사과', '슬로건', '13번째', '번째', '이', '개막', '15개', '개', '주산지', '농민', '정성', '땀', '명품', '맛', '수', '기회', '값']"
29,남산한옥마을세시맞이따뜻한겨울애(愛)동지,[]
