STD_YM|STD_YMD|festival_no|MAN_10|MAN_20|MAN_30|MAN_40|MAN_50|MAN_60|WMAN_10|WMAN_20|WMAN_30|WMAN_40|WMAN_50|WMAN_60
201510|20151029|16|1451.13999999976|7936.55000000166|19797.5400000041|22675.1000000036|14656.7800000032|7463.55000000167|3231.71000000054|11672.6300000025|14659.6300000033|12398.2400000029|8414.39000000147|4850.84000000079
201510|20151029|17|1451.13999999976|7936.55000000166|19797.5400000041|22675.1000000036|14656.7800000032|7463.55000000167|3231.71000000054|11672.6300000025|14659.6300000033|12398.2400000029|8414.39000000147|4850.84000000079
201510|20151031|18|4233.32000000015|20888.2900000018|23347.1600000023|21423.0000000024|18411.7000000019|13498.9800000016|6124.62000000033|24272.5900000023|20448.4600000027|18912.9100000019|14827.1600000016|8783.29000000096
201510|20151031|19|6298.15000000178|4983.6400000023|5929.41000000302|8986.12000000373|7104.88000000286|4295.7500000016|6607.94000000205|5403.51000000258|6865.76000000343|12046.8900000045|7499.83000000254|4665.60000000202
201511|20151106|20|3202.07999999991|30691.7500000021|63484.1100000021|65991.1800000001|44509.0900000017|26247.5300000026|6629.20000000045|43364.160000002|47149.1600000026|36387.0000000028|26949.7200000025|17087.8200000022
201511|20151109|21|1931.60999999975|23026.070000002|56140.1200000024|61594.2000000014|41538.9500000024|23738.1500000029|4083.94000000011|33201.8000000028|37544.8700000023|29347.3500000024|22455.4200000021|14701.3800000023
201511|20151117|22|1259.35999999982|3538.37000000022|7572.62000000178|8330.71000000176|6509.19000000137|4732.7100000009|1396.09999999975|4694.71000000073|5287.66000000096|5008.21000000082|4493.70000000077|3290.22000000032
201511|20151118|23|3450.30000000019|14604.570000002|35574.9700000007|34725.6000000001|21778.8100000005|11594.5700000022|3724.48000000031|20619.3700000006|22547.37|17415.4800000008|11980.1800000017|7738.45000000138
201511|20151120|24|1055.4699999999|7654.68000000052|19155.6300000027|20338.5300000027|14336.5000000029|7573.10000000161|1504.28999999981|10112.3800000013|11016.060000002|8147.91000000094|6236.92000000052|3857.80000000021
201511|20151125|25|4517.41000000101|23300.9199999978|17476.5300000003|13491.7300000038|9526.99000000248|6080.75000000157|8750.19000000165|27034.5299999974|13301.6400000036|10208.7300000024|7526.96000000141|5038.89000000121
201512|20151202|26|2637.90000000015|9440.40000000166|24013.6099999999|22903.7099999998|13850.400000002|7677.17000000097|2314.21000000003|13036.3400000018|14737.6300000022|10783.7300000016|7503.85000000089|5178.38000000052
201512|20151205|27|2387.56000000013|4974.32000000265|7039.3700000041|7148.8600000029|6357.7800000031|4163.08000000138|2251.36999999992|4734.46000000252|5946.69000000343|5662.11000000235|5030.59000000246|3726.5200000012
201512|20151205|28|2737.13000000042|6429.96000000491|6161.92000000397|6445.12000000365|5165.35000000231|3637.00000000107|2905.96000000069|7656.54000000533|5754.55000000386|6496.03000000378|5063.27000000249|3614.91000000107
201512|20151211|29|2775.68000000014|12804.4800000029|23112.3099999989|19716.5400000006|12491.8000000028|8145.21000000201|3291.56000000033|20476.6399999992|21729.309999999|15022.7600000027|10277.8900000021|7495.18000000219
201512|20151211|30|6951.15000000157|28419.8199999991|25503.6999999986|19185.3799999997|13295.340000004|8808.2300000022|11759.8100000033|36729.2499999985|21679.8199999988|15823.7700000036|10950.6200000033|7384.25000000166
201512|20151220|31|1545.51999999974|5314.71000000086|4971.07000000084|5073.32000000079|5548.56000000107|4075.28000000069|2358.57999999998|4795.3800000009|3776.3100000006|4013.96000000054|4138.82000000059|3091.52000000037
201512|20151226|32|9759.58000000381|3036.56000000024|2853.94000000004|3644.25000000115|3302.80000000073|2305.38999999995|12042.9600000035|2734.96999999995|2687.50999999998|4710.66000000173|3054.15000000025|2311.05999999983
