STD_YM|STD_YMD|festival_no|MAN_10|MAN_20|MAN_30|MAN_40|MAN_50|MAN_60|WMAN_10|WMAN_20|WMAN_30|WMAN_40|WMAN_50|WMAN_60
201511|20151127|29|2535.13000000023|12288.1800000026|22365.7099999994|19005.2900000012|12254.1300000024|7511.98000000107|3243.00000000033|19321.3600000008|20447.35|14081.4600000026|9465.42000000176|7100.19000000114
201511|20151127|30|6867.56000000124|28639.2999999992|24914.6899999986|18992.7199999995|13183.1200000038|9103.9200000027|10262.6800000027|36008.7999999995|20393.5099999997|15483.4600000037|11023.3900000034|7312.24000000155
201512|20151206|31|1133.34999999982|4999.56000000083|4771.86000000074|4614.09000000089|5113.30000000086|3904.52000000063|1150.3499999998|4250.25000000087|3509.91000000049|3391.62000000047|4079.17000000069|2833.19000000033
201512|20151212|32|2828.20000000001|2618.95999999993|4051.35000000102|4574.61000000188|4359.43000000144|3167.92000000062|2352.54999999997|2357.57999999986|3783.72000000064|5621.15000000239|4112.45000000097|2899.31000000018
201512|20151217|33|3289.27000000029|10920.390000002|26236.3799999995|25079.8799999991|15465.0100000022|8393.05000000155|3049.73000000034|15554.2800000018|17629.0300000015|13060.7600000017|8918.23000000154|5574.53000000068
201512|20151218|34|195.759999999999|244.550000000002|500.029999999961|551.109999999961|488.239999999964|402.749999999973|223.659999999997|271.229999999998|432.069999999966|521.409999999966|454.149999999968|319.629999999984
201512|20151218|35|1817.14999999981|3142.01000000076|5048.43000000153|5344.68000000144|4410.22000000084|3103.25000000057|2079.69999999983|3139.40000000072|4362.29000000118|4476.66000000091|3926.47000000071|3074.86000000059
201512|20151218|36|332.089999999986|643.329999999858|715.199999999894|883.769999999885|819.279999999886|560.869999999936|419.059999999955|699.699999999852|566.799999999931|713.849999999924|566.189999999942|427.919999999963
201512|20151218|37|2801.45000000013|3684.64000000147|7254.84000000316|8974.22000000349|8741.38000000359|5956.11000000196|2757.03000000012|4208.76000000162|6080.83000000254|6491.75000000195|7126.71000000235|4984.60000000183
201512|20151218|38|4238.80000000057|25065.5700000022|50300.9399999949|50025.5899999941|34547.3300000011|21777.5000000036|8180.68000000137|40359.6599999948|41663.0699999939|32604.5300000023|24946.5200000018|16455.2200000037
