,축제명,태그
50,잠원나루축제,"['왕비' '왕비친잠행사' '친잠' '행사' '주민' '주민참여공연' '참여' '공연' '누에' '누에생태체험관' '생태' '체험'
 '관' '먹거리' '먹거리장터' '장터' '운영']"
51,행복내곡축제,['내' '내곡가족' '곡' '가족' '청계산' '나들이' '행복' '행복내곡' '마을' '마을축제' '축제' '등']
52,양재마을축제,['음악' '음악공연' '공연' '다문화' '다문화체험' '체험' '벼룩' '벼룩시장' '시장' '등']
53,서초마을교육문화축제,['서초' '서초마을' '마을' '문화' '문화예술' '예술' '미디어' '미디어활동' '활동' '건강' '건강문화예술마을']
54,말죽거리축제,"['말' '말퍼레이드' '퍼레이드' '승마' '승마체험' '체험' '특산' '특산물' '물' '장터' '노래' '노래자랑' '자랑'
 '등']"
55,우솔마을 축제,['체육' '체육대회' '대회' '장기' '장기자랑' '자랑' '등' '개최']
56,"여의천 문화축제
(前 청계산단풍축제)",['전통문화' '체험' '체험행사' '행사' '부대' '부대행사' '먹거리' '장터' '등']
57,악기거리축제,['음악회' '거리' '거리콘서트' '콘서트' '악기' '악기거리' '마켓' '체험' '체험행사' '행사' '등']
58,방배비보이페스티벌,"['비' '비보이' '보이' '공연' '아트' '아트풍선' '풍선' '쇼' '코' '코스프레' '스프' '레' '포토' '포토존'
 '존' '운영' '등']"
59,서초단오마당,['창포물' '머리' '머리감기' '감기' '전통' '놀이' '놀이마당' '마당' '등']
60,201. 도봉산 국제 페스9티벌,"['산악' '산악행사' '행사' '자연' '자연암벽대회' '암벽' '대회' '익스' '익스트림스포츠대회' '트림' '스포츠' '공연'
 '공연행사' '사찰' '사찰행사' '체험' '체험행사']"
61,도봉구 우이천 등축제,"['개막' '개막점등식' '점등' '식' '개막식' '공연' '테마' '등' '전시' '부' '부대행사' '대행사' '문화'
 '문화공연' '공예' '체험' '원지' '원지쓰기' '쓰기' '둘' '둘리포토존' '리' '포토' '존']"
62,도봉구 방학천 등축제,"['개막' '개막점등식' '점등' '식' '개막식' '공연' '테마' '등' '전시' '부' '부대행사' '대행사' '문화'
 '문화공연' '공예' '체험' '원지' '원지쓰기' '쓰기' '둘' '둘리포토존' '리' '포토' '존']"
63,정의공주와 함께하는 도봉한글잔치,"['백일' '백일장' '장' '미술' '미술대회' '대회' '창작' '창작뮤지컬' '뮤지컬' '공연' '등' '부' '부대행사'
 '대행사' '체험' '전시']"
64,한강몽땅 여름축제,['3' '3개' '개' '테마' '80' '80개' '프로그램' '강' '감동' '감동한강' '한강' '주제']
65,한강서래섬꽃축제,"['5' '5월' '월' '유채꽃' '10' '10월' '월' '메밀' '메밀꽃밭' '꽃밭' '기기' '테마' '테마형' '형'
 '포토' '포토존' '존' '운영' '소규모' '체험' '공연' '특별' '프로그램' '쉼' '쉼터' '터' '등']"
66,제4회충무로뮤지컬영화제,"['개' '개폐막작' '폐막' '작' '8' '8개' '개' '섹션' '40' '40편' '편' '상영' '공식' '폐막식' '식'
 '청작' '야외' '야외상영' '심야' '심야상영' '등']"
67,서대문독립민주축제,"['생존' '생존독립민주지사' '독립' '민주' '지사' '프린팅' '테마' '체험' '교육' '교육프로그램' '프로그램' '운영'
 '개막' '개막공연' '공연' '역사' '역사콘서트' '콘서트' '등' '문화' '문화공연']"
68,"신촌크리스마스
거리축제","['크리스마스' '콘서트' '거리' '거리가게' '가게' '마켓' '체험' '체험부스' '부스' '운영' '개막식' '오프닝'
 '축하' '축하공연' '공연' '키즈' '키즈존' '존' '포토' '포토존' '등' '이벤트']"
69,제7회 신촌물총축제,['물총' '물총싸움' '싸움' '퍼포먼스' '어린이' '놀이터' '디' '공연' '버블' '버블파티' '파티' '기타' '이벤트']
70,안산 벚꽃음악회,['음익' '음익회' '회' '지역' '지역예술단' '예술단' '공연' '아트' '아트마켓' '마켓' '등']
71,프랑스 거리음악축제,['프랑스' '대중' '대중가수' '가수' '특별' '특별공연' '공연' '문화' '문화홍보' '홍보']
72,신촌맥주축제,['도심' '도심속' '속' '맥주' '맥주축제' '축제']
73,중국대사관연계행사,['중국' '문화' '문화체험' '체험' '전통' '전통공연' '공연']
