,축제명,태그
39,북한산페스티벌,"['북한' '북한산' '산' '페스티벌' '콘서트' '예정' '한복' '한복패션쇼' '패션쇼' '등' '추진' '아웃' '아웃도어'
 '도어' '마켓' '운영' '한' '문화' '체험' '체험프로그램' '프로그램']"
40,은평누치축제,['파발' '운영' '예정' '광장' '광장축제' '축제' '음악' '음악공연' '공연']
41,성북진경축제,['성북' '성북진경콘서트' '진경' '콘서트' '이태준' '조지훈' '한용운' '등' '고택' '고택공연' '공연' '등']
42,한양도성풍류순성,['한양' '성' '탐방' '스토리' '스토리텔링' '텔' '링' '문학' '문학콘서트' '콘서트' '등']
43,도봉구 등축제,"['개막' '개막점등식' '점등' '식' '테마' '등' '둘' '둘리' '리' '친구' '등' '전시' '부' '부대행사'
 '대행사' '나' '제작' '한지' '한지공예' '공예' '현장' '현장체험' '체험' '오색' '지' '원지' '쓰기' '포토'
 '포토존' '존' '설치']"
44,성북다문화음식축제,"['국가' '국가대표요리사' '대표' '요리사' '우리' '동네' '동네요리사' '요리' '사' '지구' '지구여행자마켓' '여행자'
 '마켓' '이웃' '이웃동네예술장' '예술' '장' '등']"
45,서울동화축제,"['해피' '해피할머니' '할머니' '이웃' '이웃나라' '나라' '동화' '동화세상' '세상' '종이컵' '종이컵인형극' '인형극'
 '나루' '나루몽도서관' '몽도' '서관' '그림' '그림책' '책' '페이스' '페이스페인팅' '페인팅' '상상' '상상속'
 '속' '사진전' '별' '별별' '아트' '아트마켓' '마켓' '동화패밀리' '패밀리' '후크' '후크선장' '선장' '라'
 '나루몽별' '몽' '등' '테마' '전시' '공연' '체험' '프로그램' '운영']"
46,광나루어울마당,"['동' '화합' '화합경연대회' '경연' '대회' '구민' '구민노래자' '노래자' '평생' '평생학습동아리' '학습' '동아리'
 '발표' '광진' '광진아트마켓' '아트' '마켓' '등' '체험' '체험행사' '행사']"
47,서울약령시 한방축제,"['보' '보제원' '제원' '제향' '거리' '레' '레이드' '이드' '한방' '한방사랑' '사랑' '시민' '시민걷기대회'
 '걷기' '대회' '한방약' '한방약선' '선' '요리' '요리대회' '등']"
48,세계거리춤축제,"['거리' '레' '레이드' '이드' '세계' '춤' '공연' '개' '개폐막' '폐막' '주제' '주제공연' '문화' '문화공연'
 '-30' '-30여개' '여' '개' '프로그램' '각종' '체험' '체험부스' '부스' '먹거리' '먹거리부스' '운영']"
