축제명,0,1,2,3,4,5,6
국립민속박물관 단오축제 ,한국,우리,서울,공연,축제,세계,기자
대한민국국제포토페스티벌 <변화의 틈> ,축제,사진,페스티벌,주제,대한민국,대표,문화
광화문국제아트페스티벌 ,문화,행사,페스티벌,축제,예술,서울,진행
서울디저트페어 RED 빨간맛 ,서울,개최,진행,전시,기업,한국,국내
전통연희 페스티벌 ,전통,예술,페스티벌,공연,우리,체험,프로그램
서울연극제 ,문화,세계,대표,예술,다양,한국,기자
K-POP 뮤직페스티벌 ,축제,페스티벌,사진,음악,제공,다양,공연
파발제 ,축제,역사,서울,기자,대표,개최,국내
인디밴드 한일전 ,지역,우리,대회,문화,행사,프로그램,서울
최순우 옛집 시민축제 ,문화,예술,축제,서울,주민,시민,세계
푸드페스타 ,지역,행사,주최,전시,참여,개최,다양
모다페 ,기자,문화,한국,서울,개최,행사,기업
서울재즈페스티벌 (SJF) ,공원,서울,페스티벌,개최,행사,사진,진행
성북세계음식축제 누리마실 ,세계,문화,축제,참여,행사,시민,주제
서울 장미축제 ,문화,광장,축제,역사,서울,국내,개최
서울 아프리카페스티벌 ,기업,서울,문화,페스티벌,시민,제공,대표
서울드럼페스티벌 ,서울,축제,페스티벌,음악,한강,개최,프로그램
동심한마당 ,주민,가족,축제,주관,대회,문화,다양
코리아 핀테크 위크 ,서울,행사,체험,참여,이벤트,한국,국내
청춘부자스쿨 ,프로그램,이벤트,페스티벌,주제,진행,체험,음악
세종페스티벌×서울뮤직위크 ,세계,문화,음악,페스티벌,서울,행사,공연
대학로 거리공연축제 ,문화,한국,도시,페스티벌,축제,진행,공원
고려인삼 페스티벌 두근두근 삼쿵 ,서울,축제,공원,공연,체험,대표,전시
신촌야행 ,축제,문화,페스티벌,공원,거리,대한민국,주최
서울 구로국제어린이영화제 ,어린이,구청장,서울,문화,지역,대한민국,체험
한강 서래섬 유채꽃축제 ,한강,공원,축제,서울,개최,주제,행사
청춘페스티벌 ,시민,페스티벌,도시,지역,광장,주최,프로그램
서울 코믹월드 ,전시,기업,기자,서울,대표,거리,축제
신촌국제꽃시장 ,예술,시민,축제,다양,제공,참여,행사
국악로 국악대축제 ,축제,거리,서울,무대,주제,오후,제공
겸재문화예술제 ,문화,예술,역사,구청장,참여,국내,주제
서울안전한마당 ,한국,우리,체험,제공,도시,사진,기자
서울동화축제 ,축제,문화,다양,공원,대표,거리,한국
영등포 어린이축제 ,서울,축제,오후,공원,제공,구청장,어린이
사각사각 봄이 오는 소리 ,체험,예술,서울,행사,사진,진행,가족
MCN 키즈 페스티벌 ,문화,도시,예술,기업,주관,이벤트,주최
대한민국 어린이축제 푸른꿈을 찾아서 ,서울,축제,어린이,세계,참여,제공,다양
씨페스티벌 (C-Festival) ,행사,페스티벌,기업,기자,개최,공연,참여
서울 보드게임 페스타 ,서울,문화,전시,주관,한국,축제,가족
종묘대제 ,문화,세계,주관,진행,프로그램,국내,주제
서울 보드게임페스타 ,서울,문화,전시,주관,한국,축제,가족
연등회 ,문화,역사,한국,세계,행사,개최,국내
궁중문화축전 ,문화,한국,프로그램,개최,전국,기업,국내
광주세계김치축제 광주햇김치 서울나들이 ,축제,체험,프로그램,세계,서울,문화,오후
롯데월드타워 불꽃축제 ,축제,서울,국내,진행,개최,세계,행사
시끌벅적 과학축제 ,서울,문화,예술,광장,축제,시민,세계
서울국제즉흥춤축제 ,예술,축제,공연,공원,문화,일대,이벤트
충무공 이순신 탄신 기념 행사 ,문화,행사,개최,기업,한국,세계,국내
원더풀 페스티벌(ONETHEFULL FESTIVAL) ,기업,어린이,세계,국내,주제,공원,대표
