"","X","Age_10","Age_20","Age_30","Age_40","Age_50","Age_60","clt$cluster"
"21",21,0.0172215388630388,0.160971224308833,0.268204851787205,0.260350830362991,0.183205447543581,0.110046107134352,4
"22",22,0.0473229643601143,0.14672175495548,0.229183106543242,0.237712952092157,0.196082551169456,0.14297667087955,3
"23",23,0.0348706453794499,0.17119431126906,0.28248441161453,0.253414475479587,0.164074406275647,0.0939617499817262,4
"24",24,0.0230631303368277,0.160079077914463,0.271843305213203,0.256659405003743,0.185364044650448,0.102991036881315,4
"25",25,0.0907153636241712,0.344161615509582,0.21044144255452,0.162048588061161,0.116604003397636,0.0760289868529296,2
"26",26,0.0369347301292452,0.167640122308533,0.289021566882327,0.251253810021415,0.159268162634213,0.0958816080242677,4
"27",27,0.0780666179647143,0.163385008862788,0.218536986953335,0.215590470377396,0.191650128376854,0.132770787464912,3
"28",28,0.0909182451302087,0.226953647740398,0.191991362985045,0.208500422280567,0.164797687172101,0.116838634691681,5
"29",29,0.0385614890005906,0.211524439911281,0.284999379684741,0.220792178130129,0.144717062532878,0.09940545074038,4
"30",30,0.0906138636263211,0.315505401345516,0.228501426259713,0.169543109694687,0.117418887803155,0.0784173112706082,2
"31",31,0.0801613369845605,0.207586468439444,0.179606484442553,0.186585516342618,0.198907131650747,0.147153062140077,5
"32",32,0.415731269054962,0.110051649545789,0.105664479501189,0.159311591087095,0.121214449821831,0.0880265609891344,6
"33",33,0.0633263254918112,0.203897651797819,0.276034684801172,0.225057252512104,0.144985600837956,0.0866984845591371,4
"34",34,0.0599797642812264,0.148345593262052,0.158786130328964,0.195393639421366,0.249808581038585,0.187686291667807,1
"35",35,0.0718799197739703,0.169212627811307,0.208661470569016,0.202090745168378,0.18001689468892,0.168138341988409,3
"36",36,0.0587983448785134,0.156603309217508,0.196986632894252,0.214719711225391,0.200586060677534,0.172305941106802,3
"37",37,0.0682040494123689,0.132859625026175,0.200110684785413,0.198541204157353,0.21515005936346,0.18513437725523,1
"38",38,0.0655786978304362,0.232545963571468,0.215260919870872,0.206666890356617,0.154493378086401,0.125454150284206,5
"39",39,0.0460165333940026,0.163062099085319,0.21326676206833,0.206971764442173,0.198344477751542,0.172338363258633,3
"40",40,0.0993186795759994,0.117432967457272,0.18464699534935,0.244323602084051,0.181327565207841,0.172950190325486,3
"41",41,0.0766433175304959,0.161434640174719,0.20768457358973,0.20482408245885,0.192366696851862,0.157046689394343,3
"42",42,0.0844392265484018,0.150468889039727,0.200805384675047,0.216715218984501,0.19026372628355,0.157307554468773,3
"43",43,0.0256918593070785,0.136092310829499,0.228088425665943,0.232989546233225,0.201142284803196,0.175995573161058,3
"44",44,0.0924949868731886,0.24973287456407,0.17718915711858,0.162371339119047,0.164538618218667,0.153673024106448,5
"45",45,0.0170284244978195,0.111113207738706,0.234911357438314,0.251874215879526,0.209293779524879,0.175779014920756,3
"46",46,0.149380305146816,0.135586981463195,0.172829497102533,0.243669704570134,0.181886768195861,0.116646743521461,3
"47",47,0.0997108937284241,0.130512395477932,0.160999627475367,0.208677305409535,0.212765659229533,0.187334118679209,1
"48",48,0.0308697906578862,0.150072733068629,0.201496525760217,0.242369080476467,0.215733645651753,0.159458224385047,3
"49",49,0.0433029281614998,0.194271322072181,0.174758164213512,0.179317569425853,0.19087506772864,0.217474948398315,1
"50",50,0.0540790130429965,0.158920395653577,0.266768306136318,0.240835532334884,0.162052440671085,0.11734431216114,4
"51",51,0.0889421431588296,0.179307043419759,0.225637423561759,0.21445277481457,0.146266441629814,0.145394173415268,5
"52",52,0.0628256139621156,0.160914923108919,0.208297395932854,0.211371561226246,0.213126643575237,0.143463862194629,3
"53",53,0.0463142338911813,0.197235872346921,0.264923502626446,0.203463204581242,0.156175562628052,0.131887623926158,4
"54",54,0.0978131163277065,0.372836280291806,0.176743253884075,0.134725147693363,0.120958336584969,0.0969238652180801,2
"55",55,0.0774156615529913,0.207430118041357,0.214041140152282,0.190051439375742,0.181172646281316,0.129888994596312,5
"56",56,0.0628077017159599,0.196499381902055,0.216654342196642,0.203120621415711,0.171418382485944,0.149499570283688,5
"57",57,0.0487941631861523,0.154923072216466,0.266284462101131,0.238937054016085,0.165228842186027,0.125832406294138,4
"58",58,0.0657433441972015,0.14395596496966,0.210489537554775,0.217640721685219,0.203472751793857,0.158697679799287,3
"59",59,0.117987486441972,0.155582392640501,0.186867794159001,0.222007692925722,0.170740268348532,0.146814365484273,3
"60",60,0.0939018890614822,0.144797982328673,0.193724841743081,0.219929515124184,0.175771798255137,0.171873973487442,3
"61",61,0.0780936260185186,0.132469739837796,0.206764826817496,0.226220660994755,0.195447648557949,0.161003497773486,3
"62",62,0.0382760334516471,0.158018333673187,0.204917926393145,0.236032748212837,0.206949302071823,0.15580565619736,3
"63",63,0.0558520306798922,0.1600095198537,0.250551781689427,0.24268834228,0.171304031270606,0.119594294226375,4
"64",64,0.0688411766771377,0.108742967190577,0.169893228245221,0.19996394123637,0.245706711251685,0.20685197539901,1
"65",65,0.0697176622250837,0.143265548576267,0.226605932238042,0.244080883746899,0.183085456671705,0.133244516542003,3
"66",66,0.0370366727994085,0.158919834954897,0.255896486346749,0.2502201925736,0.177038500689524,0.120888312635821,4
"67",67,0.0738998450386461,0.212785135956215,0.217282665523689,0.189413172186085,0.183183513807575,0.123435667487789,5
"68",68,0.0307392186736724,0.164346553690251,0.239179652623336,0.218631169840545,0.200004379596986,0.147099025575209,3
"69",69,0.0373282152044447,0.197163775621485,0.236587801204447,0.204298104350684,0.179469163435568,0.145152940183371,5
"70",70,0.0738499293273388,0.292127506696084,0.183584023033527,0.166506218151939,0.154337173353181,0.12959514943793,2
