STD_YM,STD_YMD,festival_no,분석기준일,MAN_10,MAN_20,MAN_30,MAN_40,MAN_50,MAN_60,WMAN_10,WMAN_20,WMAN_30,WMAN_40,WMAN_50,WMAN_60
201510,20151029,17,d-day,1451.1399999997598,7936.550000001659,19797.5400000041,22675.1000000036,14656.7800000032,7463.55000000167,3231.7100000005394,11672.6300000025,14659.6300000033,12398.240000002901,8414.39000000147,4850.84000000079
201510,20151031,18,d-day,4233.32000000015,20888.290000001798,23347.1600000023,21423.0000000024,18411.7000000019,13498.980000001598,6124.62000000033,24272.5900000023,20448.4600000027,18912.9100000019,14827.160000001599,8783.29000000096
201510,20151031,19,d-day,6298.1500000017795,4983.6400000022995,5929.41000000302,8986.12000000373,7104.880000002859,4295.7500000016,6607.94000000205,5403.51000000258,6865.76000000343,12046.8900000045,7499.83000000254,4665.60000000202
201511,20151106,20,d-day,3202.0799999999103,30691.7500000021,63484.110000002096,65991.1800000001,44509.0900000017,26247.530000002596,6629.20000000045,43364.160000002004,47149.1600000026,36387.0000000028,26949.7200000025,17087.8200000022
201511,20151109,21,d-day,1931.60999999975,23026.070000002,56140.120000002404,61594.200000001394,41538.950000002405,23738.1500000029,4083.9400000001096,33201.8000000028,37544.8700000023,29347.350000002403,22455.4200000021,14701.3800000023
201511,20151117,22,d-day,1259.35999999982,3538.3700000002204,7572.62000000178,8330.71000000176,6509.190000001371,4732.7100000009,1396.09999999975,4694.71000000073,5287.66000000096,5008.21000000082,4493.70000000077,3290.22000000032
201511,20151118,23,d-day,3450.30000000019,14604.570000001999,35574.9700000007,34725.6000000001,21778.8100000005,11594.570000002199,3724.48000000031,20619.3700000006,22547.37,17415.4800000008,11980.1800000017,7738.4500000013795
201511,20151120,24,d-day,1055.4699999999,7654.68000000052,19155.6300000027,20338.530000002702,14336.500000002901,7573.100000001609,1504.2899999998099,10112.3800000013,11016.060000002,8147.910000000941,6236.92000000052,3857.80000000021
201511,20151125,25,d-day,4517.41000000101,23300.919999997797,17476.5300000003,13491.7300000038,9526.990000002479,6080.75000000157,8750.19000000165,27034.5299999974,13301.640000003601,10208.7300000024,7526.96000000141,5038.89000000121
201512,20151202,26,d-day,2637.90000000015,9440.400000001659,24013.609999999902,22903.7099999998,13850.400000001999,7677.1700000009705,2314.21000000003,13036.3400000018,14737.6300000022,10783.7300000016,7503.850000000891,5178.38000000052
201512,20151205,27,d-day,2387.56000000013,4974.32000000265,7039.3700000041,7148.8600000029,6357.7800000031,4163.08000000138,2251.36999999992,4734.46000000252,5946.69000000343,5662.11000000235,5030.59000000246,3726.5200000012
201512,20151205,28,d-day,2737.13000000042,6429.9600000049095,6161.92000000397,6445.12000000365,5165.3500000023105,3637.0000000010705,2905.96000000069,7656.54000000533,5754.55000000386,6496.03000000378,5063.27000000249,3614.9100000010703
201512,20151211,29,d-day,2775.68000000014,12804.4800000029,23112.309999998903,19716.5400000006,12491.8000000028,8145.210000002009,3291.56000000033,20476.6399999992,21729.309999998997,15022.7600000027,10277.8900000021,7495.180000002191
201512,20151211,30,d-day,6951.150000001569,28419.8199999991,25503.6999999986,19185.3799999997,13295.340000003998,8808.2300000022,11759.810000003301,36729.2499999985,21679.8199999988,15823.7700000036,10950.6200000033,7384.250000001659
201512,20151220,31,d-day,1545.51999999974,5314.71000000086,4971.07000000084,5073.32000000079,5548.560000001071,4075.2800000006896,2358.5799999999804,4795.3800000009005,3776.3100000005998,4013.9600000005394,4138.82000000059,3091.5200000003697
201512,20151226,32,d-day,9759.58000000381,3036.56000000024,2853.9400000000396,3644.25000000115,3302.80000000073,2305.38999999995,12042.9600000035,2734.96999999995,2687.50999999998,4710.66000000173,3054.15000000025,2311.05999999983
201512,20151231,33,d-day,4078.73000000036,13049.4400000015,23480.9999999995,20189.8100000003,13100.4700000019,7315.13000000121,5149.6400000004605,16664.0000000017,16744.7700000019,12607.160000001999,8027.88000000091,5319.20000000069
201601,20160101,34,d-day,266.449999999992,466.259999999953,650.569999999915,724.579999999927,1021.7799999999,834.889999999925,172.23000000000098,618.70999999994,510.759999999954,704.489999999927,805.269999999935,537.809999999957
201601,20160101,35,d-day,1042.45999999989,2405.25000000023,2940.86000000078,2778.89000000049,2403.6300000001897,2168.72999999999,924.009999999902,2224.02000000002,2767.64000000061,2749.8500000005897,2521.22000000043,2431.1500000003102
201601,20160101,36,d-day,124.45000000000499,320.709999999968,408.919999999953,417.61999999995794,440.979999999963,381.78999999997103,104.900000000004,290.139999999981,359.449999999966,419.919999999961,341.429999999977,290.30999999998903
201601,20160101,37,d-day,1808.89999999982,3074.56000000048,5001.82000000228,4930.51000000185,5214.74000000198,4610.60000000155,1413.82999999984,3203.2300000007695,4453.67000000163,4450.820000001379,4951.38000000182,4137.2400000012
201601,20160101,38,d-day,2845.68000000013,11188.7700000031,11704.9600000028,10864.2000000027,8848.790000002,7444.730000001529,4112.170000000399,13484.180000003,11134.0600000029,11063.0000000027,7542.84000000158,5865.860000001539
201602,20160208,39,d-day,498.75999999995696,2037.7699999995998,2726.43000000019,2562.54000000006,2360.0400000000304,2228.55999999995,597.449999999929,1846.70999999962,2354.02999999991,2367.95999999995,2364.93999999999,1876.8999999997197
201603,20160301,40,d-day,209103.0,209617.0,338424.0,481506.0,369755.0,355136.0,194224.0,267271.0,411416.0,510677.0,366605.0,347204.0
201603,20160327,41,d-day,41994.0,100489.0,162104.0,167551.0,158449.0,133042.0,73112.0,141960.0,149805.0,140062.0,130455.0,102817.0
201604,20160401,42,d-day,785798.0,1579900.0,2269494.0,2491016.0,2081044.0,1682544.0,1027950.0,1652160.0,2043790.0,2164010.0,2005806.0,1696410.0
