festival_id,restaurants_id,distance
19,27495295,335
19,7860491,352
19,18783566,158
19,2106765869,114
19,800964702,419
19,27607834,211
19,9744554,244
21,21326655,219
21,967729291,180
21,21232315,219
21,1346301870,183
21,27540102,326
21,2038128499,203
21,18608004,184
21,27348727,416
21,24725293,481
21,27407959,475
21,8381402,338
21,11064200,178
21,7937472,187
21,2067124772,496
21,26608740,156
21,10703052,162
21,27506479,412
21,23966819,118
21,21233273,264
21,22906526,570
21,811272424,321
21,1822111964,623
21,7885256,126
21,2053098478,495
21,17278908,361
21,1619274444,484
21,220828644,447
21,27501286,285
21,11796066,232
21,7997827,558
21,10311622,339
21,14505954,517
21,829236335,621
21,1157109834,317
21,781644913,206
21,1367229148,675
21,1488776818,464
21,13327664,477
21,27105687,177
21,15751933,344
21,650374759,276
21,11120041,478
21,15204021,408
21,305893263,87
21,2028882599,317
22,24725293,385
22,19158798,252
22,1367229148,278
22,34237220,195
22,2040655168,569
22,909320698,139
22,250704401,519
22,7997827,441
22,14612458,466
22,8199745,212
22,27506479,444
22,27540102,680
22,8381402,516
22,7904353,568
22,21326655,728
22,11082648,385
22,11513016,138
22,763250184,571
22,967729291,716
22,21354090,254
22,12098170,394
22,408863053,614
22,1491327179,158
22,739727943,358
22,12990437,607
22,10371445,418
22,27373320,117
22,20061368,149
22,2038128499,654
22,1596298980,334
22,890992896,271
22,8641005,457
22,27269590,497
22,8063935,138
22,792642248,398
22,8041476,551
22,10848372,512
22,11162975,248
22,1376992930,596
22,8359176,401
22,1906742090,522
22,11120041,553
22,13327664,597
22,1179567185,40
22,20945113,357
23,27306859,141
23,561633351,89
23,21555096,434
23,460492777,94
23,8954829,180
23,27413725,297
23,916333750,147
23,25984103,128
23,21332445,157
23,22961938,389
23,1705574276,330
23,26931187,400
23,596544016,348
23,2092569747,169
23,2025519575,254
23,442337123,382
23,27338284,84
23,10199904,330
23,24057506,265
23,18361876,407
23,1783377814,153
23,26792243,277
23,25463398,218
23,7852526,391
23,8176347,624
23,14542127,398
23,8624124,226
23,1865972978,271
23,50159054,182
23,497931179,219
23,1663022585,76
23,14503615,76
23,22645565,345
23,1834810171,171
23,731469845,397
23,27495295,351
23,13092178,164
23,22278601,258
23,24049171,126
23,7860491,379
23,2106765869,163
23,18783566,236
23,800964702,441
23,9744554,299
23,25665458,184
24,1078082270,129
24,1797734944,165
24,595718850,131
24,16047820,483
24,17867126,249
24,2025628380,175
24,24940071,749
24,7943191,997
24,1092597758,502
24,16875056,91
24,19514744,112
24,1600702435,249
24,2027800730,733
24,940222852,186
24,466510865,801
24,1687705165,807
24,1839768214,786
24,181697878,491
24,189896195,119
24,21560926,674
24,16903777,865
24,1868381827,439
24,20527224,130
24,27471573,291
24,10546691,993
24,1851279485,471
24,648089789,479
24,17875103,140
24,242216404,420
24,15335152,286
24,20549903,160
24,16732261,150
24,552016879,342
